"Data series","Source","Access","First month","Last month","Months","Frequency"
"AustralianSuper: Australian shares","AustralianSuper DIY option (fund website API)","Non-WRDS","2008-08","2026-08",217,"Monthly"
"AustralianSuper: International shares","AustralianSuper DIY option (fund website API)","Non-WRDS","2008-08","2026-08",217,"Monthly"
"AustralianSuper: Fixed income","AustralianSuper DIY option (fund website API)","Non-WRDS","2008-08","2026-08",217,"Monthly"
"ART: Australian shares","ART DIY option (fund website API)","Non-WRDS","2006-02","2026-08",247,"Monthly"
"ART: International shares","ART DIY option (fund website API)","Non-WRDS","2002-11","2026-08",286,"Monthly"
"ART: Fixed income","ART DIY option (fund website API)","Non-WRDS","2002-11","2026-08",286,"Monthly"
"Gold, CRSP ETF (AUD)","CRSP gold ETF in USD (WRDS), converted at the RBA AUD/USD rate","WRDS","2004-12","2024-12",241,"Monthly"
"Gold, ASX ETF (AUD)","ASX-listed gold ETF, Yahoo Finance","Non-WRDS","2008-02","2026-08",223,"Monthly"
"Bitcoin (AUD)","Bitcoin BTC-AUD, Yahoo Finance","Non-WRDS","2014-11","2026-08",142,"Monthly"
"Risk-free rate (monthly)","RBA cash rate target, table F1.1 (FIRMMCRT)","Non-WRDS","1990-08","2026-08",433,"Monthly"
